,PriceUpdateDate,ItemCode,ItemType,ItemNm,ManufacturerName,ManufactureCountry,ManufacturerItemDescription,UnitQty,Quantity,UnitOfMeasure,bIsWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,ItemStatus,Location
36,2022-02-28 13:15:00,7290000048437,1,גבינה צפתית  5% 200 ג' פיראוס,לא ידוע,לא ידוע,גבינה צפתית  5% 200 ג' פיראוס,יחידה,1,יחידה,0,18.0000,14.9,14.9000,0,1,16 עכו
37,2022-02-28 13:15:00,7290000052311,1,גבינה צהובה  לייט 15%  200 ג' עמק,לא ידוע,לא ידוע,גבינה צהובה  לייט 15%  200 ג' עמק,יחידה,1,יחידה,0,18.0000,14.3,14.3000,0,1,16 עכו
38,2022-02-28 13:15:00,7290000055206,1,גבינה לבנה 5% בטעם בצל מטוגן 250 ג' תנובה,לא ידוע,לא ידוע,גבינה לבנה 5% בטעם בצל מטוגן 250 ג' תנובה,יחידה,1,יחידה,0,24.0000,5.3,5.3000,0,1,16 עכו
39,2022-02-28 13:15:00,7290000056272,1,גבינה לבנה 5% עם זיתים ירוקים 250 ג' תנובה,לא ידוע,לא ידוע,גבינה לבנה 5% עם זיתים ירוקים 250 ג' תנובה,יחידה,1,יחידה,0,24.0000,5.3,5.3000,0,1,16 עכו
40,2022-02-28 13:43:00,7290000057552,1,יופלה דיאט עוגת גבינה ותות 0% גביע 150ג',לא ידוע,לא ידוע,יופלה דיאט עוגת גבינה ותות 0% גביע 150ג',יחידה,1,יחידה,0,24.0000,4.7,4.7000,0,1,16 עכו
41,2022-02-28 13:15:00,7290000238173,1,בורקס גבינה  800 ג'  מעדנות,לא ידוע,לא ידוע,בורקס גבינה  800 ג'  מעדנות,יחידה,1,יחידה,0,14.0000,14.9,14.9000,1,1,16 עכו
42,2022-02-28 13:43:00,7290000474502,1,גבינה לבנה 5% 250 ג' טרה,לא ידוע,לא ידוע,גבינה לבנה 5% 250 ג' טרה,יחידה,1,יחידה,0,12.0000,4.6,4.6000,0,1,16 עכו
43,2022-02-28 13:15:00,7290000531977,1,בורקס גבינה  800 ג' זוגלובק,לא ידוע,לא ידוע,בורקס גבינה  800 ג' זוגלובק,יחידה,1,יחידה,0,8.0000,13.9,13.9000,0,1,16 עכו
44,2022-02-28 13:15:00,7290000554532,1,גבינה צפתית מעודנת במלח ים 5%  200 ג' גד,לא ידוע,לא ידוע,גבינה צפתית מעודנת במלח ים 5%  200 ג' גד,יחידה,1,יחידה,0,0.0000,13.9,13.9000,0,1,16 עכו
45,2022-02-28 13:15:00,7290001143025,1,"גבינה ברינזה וואקום 1 ק""ג בוקאעי",לא ידוע,לא ידוע,"גבינה ברינזה וואקום 1 ק""ג בוקאעי",יחידה,1,יחידה,0,0.0000,38,38.0000,0,1,16 עכו
46,2022-02-28 13:15:00,7290001143049,1,גבינה ברינזה בקופסה  800 ג' בוקאעי,לא ידוע,לא ידוע,גבינה ברינזה בקופסה  800 ג' בוקאעי,יחידה,1,יחידה,0,0.0000,40,40.0000,0,1,16 עכו
47,2022-02-28 13:15:00,7290001143117,1,גבינה ברינזה בקופסה 400 ג' בוקאעי,לא ידוע,לא ידוע,גבינה ברינזה בקופסה 400 ג' בוקאעי,יחידה,1,יחידה,0,0.0000,22,22.0000,0,1,16 עכו
48,2022-02-28 13:15:00,7290002107965,1,טבורוג גבינה לאפייה 5% צוריאל  500 ג',לא ידוע,לא ידוע,טבורוג גבינה לאפייה 5% צוריאל  500 ג',יחידה,1,יחידה,0,12.0000,22.5,22.5000,0,1,16 עכו
49,2022-02-28 13:15:00,7290002193265,1,גבינה מלוחה קופסא עדי 700ג',לא ידוע,לא ידוע,גבינה מלוחה קופסא עדי 700ג',יחידה,1,יחידה,0,0.0000,37.9,37.9000,1,1,16 עכו
50,2022-02-28 13:15:00,7290002193388,1,גבינה בלדי מלוחה 16% עדי 900 ג',לא ידוע,לא ידוע,גבינה בלדי מלוחה 16% עדי 900 ג',יחידה,1,יחידה,0,0.0000,59.9,59.9000,0,1,16 עכו
51,2022-02-28 13:15:00,7290002193852,1,גבינה לבנה 16% עדי 400ג',לא ידוע,לא ידוע,גבינה לבנה 16% עדי 400ג',יחידה,1,יחידה,0,0.0000,19.9,19.9000,0,1,16 עכו
52,2022-02-28 13:15:00,7290002193869,1,גבינה מלוחה %16עדי 400ג',לא ידוע,לא ידוע,גבינה מלוחה %16עדי 400ג',יחידה,1,יחידה,0,0.0000,19.9,19.9000,0,1,16 עכו
53,2022-02-28 13:15:00,7290002281498,1,גבינה צהובה מגורדת על בסיס חלב 500 ג' ריץ,לא ידוע,לא ידוע,גבינה צהובה מגורדת על בסיס חלב 500 ג' ריץ,יחידה,1,יחידה,0,12.0000,17.8,17.8000,0,1,16 עכו
54,2022-02-28 13:10:00,7290002327073,1,בורקס גבינה 800 ג' שלושת האופים,לא ידוע,לא ידוע,בורקס גבינה 800 ג' שלושת האופים,יחידה,1,יחידה,0,12.0000,14.9,14.9000,1,1,16 עכו
55,2022-02-28 13:15:00,7290002327912,1,מיני בורקס גבינה 700 ג' שלושת האופים,לא ידוע,לא ידוע,מיני בורקס גבינה 700 ג' שלושת האופים,יחידה,1,יחידה,0,12.0000,19.9,19.9000,0,1,16 עכו
56,2022-02-28 13:10:00,7290002487364,1,בורקס פילו גבינה זיתים  700 ג' שלושת האופים,לא ידוע,לא ידוע,בורקס פילו גבינה זיתים  700 ג' שלושת האופים,יחידה,1,יחידה,0,12.0000,18.9,18.9000,1,1,16 עכו
57,2022-02-28 13:15:00,7290002757535,1,בורקס פילו אצבעות גבינה  700 ג' שלושת האופים,לא ידוע,לא ידוע,בורקס פילו אצבעות גבינה  700 ג' שלושת האופים,יחידה,1,יחידה,0,12.0000,14.9,14.9000,1,1,16 עכו
58,2022-02-28 13:10:00,7290002757726,1,בורקס גבינה 700 ג' שלושת האופים,לא ידוע,לא ידוע,בורקס גבינה 700 ג' שלושת האופים,יחידה,1,יחידה,0,12.0000,14.9,14.9000,0,1,16 עכו
59,2022-02-28 13:15:00,7290002824183,1,גבינה לבנה  5% שומן  500  ג' שטראוס,לא ידוע,לא ידוע,גבינה לבנה  5% שומן  500  ג' שטראוס,יחידה,1,יחידה,0,12.0000,9.2,9.2000,0,1,16 עכו
60,2022-02-28 13:15:00,7290002824640,1,גבינה שטראוס 5% 250 ג',לא ידוע,לא ידוע,גבינה שטראוס 5% 250 ג',יחידה,1,יחידה,0,12.0000,4.6,4.6000,0,1,16 עכו
61,2022-02-28 13:10:00,7290003126958,1,טופו גבינה גוש בואקום צוריאל  300 ג',לא ידוע,לא ידוע,טופו גבינה גוש בואקום צוריאל  300 ג',יחידה,1,יחידה,0,36.0000,11.9,11.9000,0,1,16 עכו
62,2022-02-28 13:15:00,7290003321292,1,גבינה לבנה 9% שומן  250 ג' שטראוס,לא ידוע,לא ידוע,גבינה לבנה 9% שומן  250 ג' שטראוס,יחידה,1,יחידה,0,12.0000,4.6,4.6000,0,1,16 עכו
